"Slopes gt 30pct from 10m NED","94","percent","231"
"Mean Basin Elevation","2654","feet","231"
"Mean Basin Slope from 10m DEM","111","percent","231"
"ELEV10FT","715","feet","231"
"ELEV85FT","2523","feet","231"
"Minimum Basin Elevation","601.4","feet","231"
"Maximum Basin Elevation","5696","feet","231"
"Relief","5095","feet","231"
"Relative Relief","412","feet per mi","231"
"ELEV85FT3D","2520","feet","231"
"ELEV10FT3D","714","feet","231"

"Stream Channel Properties"
"Characteristic Name","Value","Units","Citation"
"Stream Slope 10 and 85 Longest Flow Path","556.128993","feet per mi","150"
"LFP length","4.345032","miles","150"
"SLPFM3D","1164.266816","feet per mi","150"
"SLPFM3D","1157","feet per mi","231"
"LFP length","4.37","miles","231"
"Stream Slope 10 and 85 Method","551","feet per mi","231"

"Soil Properties"
"Characteristic Name","Value","Units","Citation"
"PERM12IN","4.112941","inches per hour","150"
"PERM24IN","4.053666","inches per hour","150"
"PERM12IN","4.09","inches per hour","231"
"PERM24IN","4.03","inches per hour","231"

"Land Cover Characteristics"
"Characteristic Name","Value","Units","Citation"
"LC01OPNLO","0.721904","percent","150"
"LC01DEVMD","0","percent","150"
"LC01DEVHI","0","percent","150"
"LC01BARE","0","percent","150"
"LC01EVERG","23.352421","percent","150"
"LC01CROP","0","percent","150"
"LC11GRASS","0.1","percent","231"
"LC11FOREST","25.4","percent","231"
"Percent_Pasture_from_NLCD2011","0","percent","231"
"NOAA C-CAP palustrine forested wetland 2011 collection","0","percent","231"
"NOAA C-CAP palustrine shrub wetland 2011 collection","1.2","percent","231"
"Percent_Cultivated_Crops_from_NLCD2011","0","percent","231"
"LC11SHRUB","72.1","percent","231"
"LC11BARE","0","percent","231"
"Percent_Open_Developed_from_NLCD2011","0","percent","231"
"Percent_Impervious_NLCD2011","0.1","percent","231"

Streamflow Statistics

"Peak-Flow Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Variance","Lower 90% Prediction Interval","Upper 90% Prediction Interval","Citation","Comments"
"50-percent AEP flood","4790","cubic feet per second","✔","25","11.35","","","","150",""
"20-percent AEP flood","7330","cubic feet per second","✔","25","11.22","","","","150",""
"10-percent AEP flood","8970","cubic feet per second","✔","25","12.33","","","","150",""
"4-percent AEP flood","11000","cubic feet per second","✔","25","14.94","","","","150",""
"2-percent AEP flood","12400","cubic feet per second","✔","25","17.52","","","","150",""
"1-percent AEP flood","13700","cubic feet per second","✔","25","20.43","","","","150",""
"0.2-percent AEP flood","16700","cubic feet per second","✔","25","27.95","","","","150",""
"Regression est 50-percent AEP flood","2180","cubic feet per second","✔","25","93","","","","150",""
"Regression est 20-percent AEP flood","3470","cubic feet per second","✔","25","70","","","","150",""
"Regression est 10-percent AEP flood","4430","cubic feet per second","✔","25","66","","","","150",""
"Regression est 4-percent AEP flood","5780","cubic feet per second","✔","25","65","","","","150",""
"Regression est 2-percent AEP flood","6860","cubic feet per second","✔","25","67","","","","150",""
"Regression est 1-percent AEP flood","8000","cubic feet per second","✔","25","70","","","","150",""
"Regression est 0.2-percent AEP flood","10800","cubic feet per second","✔","25","79","","","","150",""
"Weighted 20-percent AEP flood","7160","cubic feet per second","✔","25","11.05","","","","150",""
"Weighted 10-percent AEP flood","8720","cubic feet per second","✔","25","12.08","","","","150",""
"Weighted 4-percent AEP flood","10500","cubic feet per second","✔","25","14.49","","","","150",""
"Weighted 2-percent AEP flood","11800","cubic feet per second","✔","25","16.84","","","","150",""
"Weighted 1-percent AEP flood","13000","cubic feet per second","✔","25","19.44","","","","150",""
"Weighted 0.2-percent AEP flood","15700","cubic feet per second","✔","25","25.94","","","","150",""
"Log Mean of Annual Peaks","3.6635","Log base 10","✔","25","","","","","150",""
"Log STD of Annual Peaks","0.2356","Log base 10","✔","25","","","","","150",""
"Log Skew of Annual Peaks","-0.765","Log base 10","✔","25","","","","","150",""
"WRC Mean","3.6635","Log base 10","✔","25","","","","","150",""
"WRC STD","0.2356","Log base 10","✔","25","","","","","150",""
"WRC Skew","-0.426","Log base 10","✔","25","","","","","150",""
"Systematic peak years","25","years","✔","25","","","","","150",""
"Weighted 50-percent AEP flood","4710","cubic feet per second","","25","11.23","","","","150",""
"50-percent AEP flood","3920","cubic feet per second","✔","37","","0.0022","3280","4700","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"20-percent AEP flood","6630","cubic feet per second","✔","37","","0.0028","5500","8290","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"10-percent AEP flood","8740","cubic feet per second","✔","37","","0.0038","7120","11600","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"4-percent AEP flood","11700","cubic feet per second","✔","37","","0.0059","9240","17100","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"2-percent AEP flood","14200","cubic feet per second","✔","37","","0.0082","10800","22500","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"1-percent AEP flood","16900","cubic feet per second","✔","37","","0.011","12400","29200","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"0.5-percent AEP flood","19800","cubic feet per second","✔","37","","0.0144","14000","37400","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"0.2-percent AEP flood","23900","cubic feet per second","✔","37","","0.0198","16000","51300","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 20-percent AEP flood","4270","cubic feet per second","✔","37","","0.0368","1750","10400","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 50-percent AEP flood","2760","cubic feet per second","✔","37","","0.0299","1230","6180","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 10-percent AEP flood","5360","cubic feet per second","✔","37","","0.0433","2030","14100","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 4-percent AEP flood","6810","cubic feet per second","✔","37","","0.0531","2330","19900","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 2-percent AEP flood","7940","cubic feet per second","✔","37","","0.0609","2510","25100","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 1-percent AEP flood","9110","cubic feet per second","✔","37","","0.0686","2690","30900","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 0.5-percent AEP flood","10300","cubic feet per second","✔","37","","0.077","2830","37500","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Regression est 0.2-percent AEP flood","12000","cubic feet per second","✔","37","","0.0875","3020","47600","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 50-percent AEP flood","3830","cubic feet per second","✔","37","","0.002","3110","4710","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 20-percent AEP flood","6430","cubic feet per second","✔","37","","0.0026","5070","8150","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 10-percent AEP flood","8400","cubic feet per second","✔","37","","0.0035","6380","11100","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 2-percent AEP flood","13300","cubic feet per second","✔","37","","0.0072","8920","19700","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 1-percent AEP flood","15500","cubic feet per second","✔","37","","0.0095","9850","24400","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 0.5-percent AEP flood","17900","cubic feet per second","✔","37","","0.0121","10700","29800","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 0.2-percent AEP flood","21000","cubic feet per second","✔","37","","0.0161","11600","38000","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"
"Weighted 4-percent AEP flood","11100","cubic feet per second","✔","37","","0.0053","7890","15600","231","Statistic Date Range: 07/20/1984 - 03/02/2020. null"

"Flow-Duration Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Citation","Comments"
"1 Percent Duration","394","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"2 Percent Duration","293","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"3 Percent Duration","232","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"5 Percent Duration","174","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"10 Percent Duration","119","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"15 Percent Duration","93","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"20 Percent Duration","80","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"25 Percent Duration","71","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"30 Percent Duration","65","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"35 Percent Duration","60","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"40 Percent Duration","56","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"45 Percent Duration","53","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"50 Percent Duration","50","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"50 Percent Duration","51","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"55 Percent Duration","48","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"55 Percent Duration","48","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"60 Percent Duration","46","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"60 Percent Duration","46","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"65 Percent Duration","44","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"65 Percent Duration","44","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"70 Percent Duration","42","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"70 Percent Duration","43","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"75 Percent Duration","40","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"75 Percent Duration","41","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"80 Percent Duration","39","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"80 Percent Duration","39","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"85 Percent Duration","37","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"85 Percent Duration","37","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"90 Percent Duration","35","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"90 Percent Duration","35","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"95 Percent Duration","32","cubic feet per second","","30","","7","Other Remarks Statistic computed for base period of WY 1984-2013 "
"95 Percent Duration","32","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"97 Percent Duration","31","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"98 Percent Duration","30","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"99 Percent Duration","28","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "

"Annual Flow Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Citation","Comments"
"Mean Annual Flow","71","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Stand Dev of Mean Annual Flow","17","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Maximum Annual Mean Flow","106","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Minimum Annual Mean Flow","49","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "

"General Flow Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Citation","Comments"
"Minimum daily flow","22","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Maximum daily flow","1160","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Std Dev of daily flows","72","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Harmonic Mean Streamflow","52","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Mean_of_Logs_of_Daily_Values","1.76495","Log base 10","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Std_Dev_of_Logs_of_Daily_Values","0.232978","Log base 10","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Skew_of_Logs_of_Daily_Values","1.652863","Log base 10","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "
"Non_Zero_Adjusted_Harmonic_Mean_Flow","52","cubic feet per second","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "

"Base Flow Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Citation","Comments"
"Number of years to compute BFI","19","years","✔","20","","87",""
"Average BFI value","0.617","dimensionless","✔","20","","87",""
"Std dev of annual BFI values","0.046","dimensionless","✔","20","","87",""

"Probability Statistics"
"Statistic Name","Value","Units","Preferred?","Years of Record","Standard Error, percent","Citation","Comments"
"Probability zero flow durations","0","dimensionless","✔","31","","52","Statistic Date Range 10/1/1984 - 9/30/2015 "

Citations
"ID","Citation"
"150","Oki, D.S., Rosa, S.N., and Yeung, C.W., 2010, Flood-frequency estimates for streams on Kaua‘i, O‘ahu, Moloka‘i, Maui, and Hawai‘i, State of Hawai‘i: U.S. Geological Survey Scientific Investigations Report 2010-5035, 121 p."
"231","Mitchell, J.N., Wagner, D.M., and Veilleux, A.G. 2023, Magnitude and frequency of floods on Kauaʻi, Oʻahu, Molokaʻi, Maui, and Hawaiʻi, State of Hawaiʻi, based on data through water year 2020: U.S. Geological Survey Scientific Investigations Report 2023–5014, 66 p. plus 4 appendixes"
"52","Granato G.E., Ries, K.G., III, and Steeves, P.A., 2017, Compilation of streamflow statistics calculated from daily mean streamflow data collected during water years 1901–2015 for selected U.S. Geological Survey streamgages: U.S. Geological Survey Open-File Report 2017-1108, 17 p."
"7","Cheng, C.L., 2016, Low-flow characteristics for streams on the Islands of Kaua‘i, O‘ahu, Moloka‘i, Maui, and Hawai‘i, State of Hawai‘i: U.S. Geological Survey Scientific Investigations Report 2016-5103, 36 p."
"87","Wolock, D.M., 2003, Base-flow index grid for the conterminous United States: U.S. Geological Survey Open-File Report 03-263, digital data set"

"USGS Data Disclaimer: Unless otherwise stated, all data, metadata and related materials are considered to satisfy the quality standards relative to the purpose for which the data were collected. Although these data and associated metadata have been reviewed for accuracy and completeness and approved for release by the U.S. Geological Survey (USGS), no warranty expressed or implied is made regarding the display or utility of the data for other purposes, nor on all computer systems, nor shall the act of distribution constitute any such warranty."
"USGS Software Disclaimer: This software has been approved for release by the U.S. Geological Survey (USGS). Although the software has been subjected to rigorous review, the USGS reserves the right to update the software as needed pursuant to further analysis and review. No warranty, expressed or implied, is made by the USGS or the U.S. Government as to the functionality of the software and related material nor shall the fact of release constitute any such warranty. Furthermore, the software is released on condition that neither the USGS nor the U.S. Government shall be held liable for any damages resulting from its authorized or unauthorized use."
"USGS Product Names Disclaimer: Any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government."

"Application Version:",4.19.1
