EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5583343,MAUI CO.,MOLOKAI,11/14/1996,1100,Flood, , ,0,0,0,0,HI,HST, ,2057232,C,9,HFO,0,0, , , , , , , , ,MOLOKAI,11/14/1996,1700, , , , ,"","Showers producing heavy rainfall caused minor flooding of roads and streams throughout Molokai.",11
5583345,MAUI CO.,EAST MAUI,11/15/1996,710,Flood, , ,0,0,0,0,HI,HST, ,2057234,C,9,HFO,0,0, , , , , , , , ,EAST MAUI,11/15/1996,1030, , , , ,"","Heavy runoff from showers over the mountain slopes of east Maui caused overflowing streams from Hana to Kaupo.",12
5582840,MAUI CO.,MAUI,12/13/1996,2130,Flood, , ,0,0,0,0,HI,HST, ,2057267,C,9,HFO,0,0, , , , , , , , ,MAUI,12/13/1996,2330, , , , ,"Minor road flooding and ponding was reported in the Kihei, Kula, Kahului, and central valley areas.","",13
5583356,MAUI CO.,MAUI,12/14/1996,600,Flood, , ,0,0,0,0,HI,HST, ,2057268,C,9,HFO,0,0, , , , , , , , ,MAUI,12/14/1996,1530, , , , ,"Minor flooding of roads due to clogged storm drains and flooding in low-lying areas such as Kihei.  Ponding and debris on the roads in Lanai City, and minor stream flooding on Molokai.","",14
5583358,MAUI CO.,MAUI,12/21/1996,1930,Flood, , ,0,0,0,0,HI,HST, ,2057270,C,9,HFO,0,0, , , , , , , , ,MAUI,12/21/1996,2230, , , , ,"Minor stream and road flooding due to heavy showers throughout the island of Molokai.","",15
5583361,MAUI CO.,MAUI,12/24/1996,815,Flood, , ,0,0,0,0,HI,HST, ,2057273,C,9,HFO,0,0, , , , , , , , ,MAUI,12/24/1996,1130, , , , ,"On Molokai, small streams overflowed and the coast road had minor flooding in several locations  east of Kaluaaha.  Minor street flooding ocurred on Maui and Lanai.","",16
5582837,MAUI CO.,MAUI,12/27/1996,700,Flood, , ,0,0,0,0,HI,HST, ,2057264,C,9,HFO,0,0, , , , , , , , ,MAUI,12/27/1996,1230, , , , ,"Minor flooding was reported in west Maui, the central valley, and east Maui, including Makawao, Haiku, and Kailua.  Minor mud and rock slides were along parts of Honoapiilani Highway and near Maalaea Harbor.","
A cold front moving from northwest to southeast brought strong southerly winds to all of the main Hawaiian Islands during December 26-27th.  Winds ranged from 35 to 45 mph with gusts estimated as high as 75  mph where the winds accelerated down the north facing slopes of the mountains on the islands of  Kauai, Oahu, Maui, and Hawaii.",17
5626509,MAUI CO.,OLOWALU,01/02/1997,0,Flood, , ,0,0,0,0,HI,HST, ,2071382,C,9,HFO,0,0, , , , , , , , ,OLOWALU,01/02/1997,600, , , , ,"Roads ponded with water briefly closed one lane of the highway near Olowalu, West Maui.","",18
5626804,MAUI CO.,KAUNAKAKAI,01/19/1997,2000,Flood, , ,0,0,24000,0,HI,HST, ,2071407,C,9,HFO,0,0, , , , , , , , ,KAUNAKAKAI,01/20/1997,400, , , , ,"","Drainageways overflowed in Lahaina flooding an underground parking lot and damaging several cars.  Flooding closed a section of Kamehameha V Highway two miles east of Kaunakakai.",19
5626958,MAUI CO.,MAUI,03/16/1997,2300,Flood, , ,0,0,0,0,HI,HST, ,2071436,C,9,HFO,0,0, , , , , , , , ,MAUI,03/17/1997,630, , , , ,"","Heavy showers caused minor street flooding in Kihei and from Lahaina to Napili. The Molokai WSR-88D indicated 3.5 to 4 inches of rainfall in six hours over isolated areas of east Maui along the south slopes of Haleakala.",20
5626962,MAUI CO.,MAUI,03/17/1997,1400,Flood, , ,0,0,0,0,HI,HST, ,2071440,C,9,HFO,0,0, , , , , , , , ,MAUI,03/17/1997,1930, , , , ,"","Roads were closed by minor flooding in the Kihei, Makena, and Kahului areas, and through parts of central Maui.  Heavy rains on the Kaupo Coast caused Nuanualoa Stream to flood, prompting the closure of Piilani Highway between Kaupo and Kipahulu.",21
5626201,MAUI CO.,HANA,07/30/1997,630,Flood, , ,0,0,0,0,HI,HST, ,2071547,C,9,HFO,0,0, , , , , , , , ,HANA,07/30/1997,1445, , , , ,"Minor flooding of the Piilani Highway south from Hana to Kipahulu.","",22
5626204,MAUI CO.,PUKALANI,08/15/1997,1530,Flood, , ,0,0,0,0,HI,HST, ,2071550,C,9,HFO,0,0, , , , , , , , ,PUKALANI,08/15/1997,1800, , , , ,"","Minor road and stream flooding reported throughout the area from Pukalani to Makawao to Haiku.",23
5626209,MAUI CO.,LANAI CITY,08/17/1997,1545,Flood, , ,0,0,0,0,HI,HST, ,2071555,C,9,HFO,0,0, , , , , , , , ,LANAI CITY,08/17/1997,1815, , , , ,"Heavy showers produced minor street flooding in and near Lanai City  (Lanai) and Maunaloa (Molokai).","
An upper level low from northwest of the Hawaiian Islands cut-off just north of the state and persisted in the area from the 15th through the 17th.   During this period, moisture from the remnants of Tropical Cyclone Guillermo combined with an unstable airmass due to the close proximity of the upper level low to help fuel widely scattered heavy showers and thunderstorms over all of the islands.",24
5626707,MAUI CO.,ULUPALAKUA,09/21/1997,1345,Flood, , ,0,0,0,0,HI,HST, ,1050447,C,9,HFO,0,0, , , , , , , , ,ULUPALAKUA,09/21/1997,1645, , , , ,"","The Piilani Highway was flooded in several places due to heavy runoff from showers over the south flank of Haleakala.",25
5626730,MAUI CO.,PUUNENE,10/10/1997,1700,Flood, , ,0,0,0,0,HI,HST, ,2071593,C,9,HFO,0,0, , , , , , , , ,PUUNENE,10/10/1997,1900, , , , ,"","Runoff from heavy showers closed a portion of Pulehu Road between Omaopio Road and Hansen Road.",26
5675280,MAUI CO.,WAILUKU,11/17/1998,1430,Flood, , ,0,0,0,0,HI,HST, ,2151285,C,9,HFO,0,0,FIRE DEPT/RESCUE SQUAD, , , ,3,NW,3,NW,WAILUKU,11/17/1998,2030, , , , ,"","Firefighters rescued five hikers who had been stranded in the mountains above Waihee after heavy rain raised stream waters.  No injuries were reported.",27
5675560,MAUI CO.,LAHAINA,12/31/1998,400,Flood, , ,0,0,0,0,HI,HST, ,2151300,C,9,HFO,0,0,NEWSPAPER, , , , , , , ,LAHAINA,12/31/1998,700, , , , ,"","Heavy showers caused water damage to homes in Lahaina, a power outage in Kaanapali, and treacherous driving conditions on flooded roadways.  On Lanai, saturated ground released boulders onto nearby streets.",28
5685570,MAUI CO.,HANA,01/22/1999,1200,Flood, , ,0,0,0,0,HI,HST, ,1503343,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,01/22/1999,1440, , , , ,"","Heavy showers were observed at the windward side of Maui, causing ponded water along roadways.",29
5685571,MAUI CO.,HANA,01/31/1999,530,Flood, , ,0,0,0,0,HI,HST, ,1501464,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,01/31/1999,1615, , , , ,"","Heavy showers and thunderstorms produced minor flooding in areas along the entire windward coast, from Hana to Kahakuloa.  The five corners intersection at Haiku-Kapakalu was flooded.  Landslides occurred near Honomanu, Ke'anae, and Kahakuloa.",30
5686307,MAUI CO.,HANA,03/20/1999,1730,Flood, , ,0,0,0,0,HI,HST, ,1503098,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,03/21/1999,300, , , , ,"","There were occasional heavy showers over the windward areas and the west slopes of Haleakala. Heavy showers over higher sections of north slopes of Haleakala caused Kuhiwa Stream to overflow.  A person was swept in Kuhiwa Stream, due to heavy showers.  The person was rescued by helicopter about 2:15 a.m. on March 21.",31
5723366,MAUI CO.,KAUNAKAKAI,10/20/1999,1120,Flood, , ,0,0,0,0,HI,HST, ,1088239,C,9,HFO,0,0,DEPT OF HIGHWAYS, , , , , , , ,KAUNAKAKAI,10/20/1999,1740, , , , ,"","To sum up this event and the preceding events of 18 to 20 October, flash flood watches and warnings, and urban and small stream flood advisories had been up for all or portions of Kauai, Oahu, Maui County, and the island of Hawaii for the two-day period as a Kona low to the northwest of Kauai kept the weather unstable.  Two to five inches of rain fell on parts of the state in a 24-hour period over the two days.  There were reports of ponding and flooding of roadways, minor rock and land slides, and occasional power outages around the island chain.  However, there were no reports of serious injuries or significant property damage.",32
5721194,MAUI CO.,PAUWELA,12/01/1999,2115,Flood, , ,0,0,0,0,HI,HST, ,2414060,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,PAUWELA,12/02/1999,0, , , , ,"","",33
5720863,MAUI CO.,HAIKU,12/03/1999,1700,Flood, , ,0,0,0,0,HI,HST, ,2414067,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HAIKU,12/03/1999,1950, , , , ,"","Heavy showers caused severe road ponding on streets in the Haiku area and a rockslide onto Haiku Road.",34
5171382,MAUI CO.,HANA,08/20/2000,425,Flood, , ,0,0,0,0,HI,HST, ,1102002,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,08/20/2000,900, , , , ,"","Heavy rain and showers over the windward- and south-facing slopes of Mt. Haleakala in East Maui caused minor flooding of streams and ponding of roadways.  However, no serious property damage or injuries were reported.",35
5171383,MAUI CO.,KALAUPAPA,08/20/2000,515,Flood, , ,0,0,0,0,HI,HST, ,1102003,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,KALAUPAPA,08/20/2000,1000, , , , ,"","Heavy rainfall produced some flooding of small streams and ponding on roadways on the island of Molokai, with the heaviest precipitation affecting northern coastal areas.  There were no reports of serious injuries or property damage.",36
5162227,MAUI CO.,HANA,09/06/2000,530,Flood, , ,0,0,0,0,HI,HST, ,1103596,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,09/06/2000,740, , , , ,"","Frequent showers produced minor flooding of streams and roadways in and around the Hana area.  No serious injuries or property damage were reported.",37
5161651,MAUI CO.,HANA,10/26/2000,2130,Flood, , ,0,0,0,0,HI,HST, ,1103981,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,10/26/2000,2359, , , , ,"","Heavy rainfall produced minor stream flooding and ponding of roadways in and near the town of Hana in East Maui.  There were no reports of property damage or serious injuries.",38
5161654,MAUI CO.,HANA,10/29/2000,650,Flood, , ,0,0,0,0,HI,HST, ,1103984,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,10/29/2000,830, , , , ,"","Heavy rain produced minor stream flooding and ponding of roadways in East Maui, especially near Hana.  No property damage or serious injuries were reported.",39
5161656,MAUI CO.,HANA,10/29/2000,1415,Flood, , ,0,0,0,0,HI,HST, ,1103986,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HANA,10/29/2000,1930, , , , ,"","Thunderstorms and heavy showers produced minor stream flooding and ponding of roadways.  There were also reports of some road damage and large boulders on country highways.  However, there were no reports of serious injuries.",40
5161659,MAUI CO.,KAUNAKAKAI,11/03/2000,900,Flood, , ,0,0,0,0,HI,HST, ,1104568,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,KAUNAKAKAI,11/03/2000,1900, , , , ,"","Heavy showers produced minor street and stream flooding on the islands of Molokai, Lanai, and Maui.  No serious injuries or property damage were reported.",41
5232929,MAUI CO.,HAIKU,02/08/2001,1615,Flood, , ,0,0,0,0,HI,HST, ,1111241,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,HAIKU,02/08/2001,1915, , , , ,"","Heavy showers and thunderstorms produced ponding of roadways and stream and drainage ditch flooding in windward sections of East Maui.  No serious injuries or property damage were reported.",42
5235515,MAUI CO.,KUALAPUU,03/25/2001,215,Flood, , ,0,0,0,0,HI,HST, ,1112241,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,KUALAPUU,03/25/2001,515, , , , ,"","Thunderstorms and heavy rain caused minor stream and drainage ditch flooding and ponding of roadways in central and western parts of Molokai.  No serious property damage or injuries were reported.",43
5251333,MAUI CO.,MAUNALOA,06/05/2001,1245,Flood, , ,0,0,0,0,HI,HST, ,1116573,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,MAUNALOA,06/05/2001,1515, , , , ,"","Heavy showers and thunderstorms produced minor stream and drainage ditch flooding and ponding of roadways on the islands of Molokai, Lanai, and Maui.  Also, small hail was reported at 3500-feet elevation near Olinda in Upcountry Maui.  However, no serious injuries or property damage were reported.",44
5271592,MAUI CO.,KEANAE,10/24/2001,1850,Flood, , ,0,0,0,0,HI,HST, ,1124415,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,KEANAE,10/25/2001,50, , , , ,"","Thunderstorms and heavy showers caused ponding of roadways and minor stream and drainage ditch flooding in  windward coastal, windward upslope, and southeast sections of east Maui.  However, no serious injuries or property damage were reported.",45
5271601,MAUI CO.,WAIALUA,10/24/2001,2055,Flood, , ,0,0,0,0,HI,HST, ,1124419,C,9,HFO,0,0,OFFICIAL NWS OBS., , , ,6,NNW,6,NNW,WAIALUA,10/24/2001,2355, , , , ,"","Heavy showers produced minor flooding of small streams and drainage ditches and ponding of roadways in eastern sections of Molokai.  There were no reports, though, of injuries or property damage.",46
5273109,MAUI CO.,LANAI CITY,11/27/2001,440,Flood, , ,0,0,0,0,HI,HST, ,1124755,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,LANAI CITY,11/27/2001,545, , , , ,"","Heavy rain and showers caused stream and drainage ditch flooding and ponding or roadways on the island of Lanai.  No serious property damage or injuries were reported.",47
5273112,MAUI CO.,COUNTYWIDE,11/27/2001,1210,Flood, , ,0,0,0,0,HI,HST, ,1124758,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE,11/27/2001,1500, , , , ,"","Heavy rain, showers, and isolated thunderstorms produced stream and drainage ditch flooding and ponding of roadways in eastern parts of Molokai, all of Lanai, and west and central sections of Maui.  No serious property damage or injuries were reported.",48
5275711,MAUI CO.,COUNTYWIDE,12/12/2001,1600,Flood, , ,0,0,0,0,HI,HST, ,1125589,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,COUNTYWIDE,12/14/2001,1000, , , , ,"","Heavy showers and rain caused ponding of roadways and minor stream and drainage ditch flooding throughout Maui County.  Kilohana Elementary School in East Molokai was closed on the 13th due to a nearby road being impassable because of heavy ponding.  No serious injuries or property damage were reported, however.",49
5278608,MAUI CO.,PAUWELA,01/29/2002,1745,Flood, , ,0,0,0,0,HI,HST, ,1130691,C,9,HFO,0,0,OFFICIAL NWS OBS., , , , , , , ,PAUWELA,01/29/2002,2000, , , , ,"","Heavy showers and rain generated ponding of roadways and minor drainage ditch and stream flooding in windward and southeast sections of East Maui.  However, there were no reports of serious injuries or property damage.",50
